Tiempo de autenticación,Tiempo de actualización,Perdida,Uso de CPU,Numero thread
204695,204695,false,-1.0,dlg 357: ,
338117,263424,false,-1.0,dlg 358: ,
600401,288512,false,-1.0,dlg 359: ,
323863,303907,false,-1.0,dlg 360: ,
512022,341539,false,-1.0,dlg 361: ,
383162,420223,false,-1.0,dlg 362: ,
187019,208116,false,-1.0,dlg 363: ,
194432,204124,false,-1.0,dlg 364: ,
348950,281669,false,-1.0,dlg 365: ,
401978,286231,false,-1.0,dlg 366: ,
362635,282810,false,-1.0,dlg 367: ,
198993,207546,false,-1.0,dlg 368: ,
347811,294783,false,-1.0,dlg 369: ,
534260,489215,false,-1.0,dlg 370: ,
395705,278249,false,-1.0,dlg 371: ,
400267,206976,false,-1.0,dlg 372: ,
353512,286801,false,-1.0,dlg 373: ,
3103494,2826956,false,-1.0,dlg 374: ,
390003,281099,false,-1.0,dlg 375: ,
1383259,322152,false,-1.0,dlg 376: ,
355793,306757,false,-1.0,dlg 377: ,
343249,282809,false,-1.0,dlg 378: ,
456144,332415,false,-1.0,dlg 379: ,
379170,290792,false,-1.0,dlg 380: ,
4369865,294213,false,-1.0,dlg 381: ,
385443,279959,false,-1.0,dlg 382: ,
1691726,303336,false,-1.0,dlg 383: ,
468688,275397,false,-1.0,dlg 384: ,
350661,284520,false,-1.0,dlg 385: ,
352942,110615,false,-1.0,dlg 386: ,
453864,334126,false,-1.0,dlg 387: ,
435618,317591,false,-1.0,dlg 388: ,
447592,289082,false,-1.0,dlg 389: ,
338117,230923,false,-1.0,dlg 390: ,
534829,221800,false,-1.0,dlg 391: ,
490356,622637,false,-1.0,dlg 392: ,
498908,896324,false,-1.0,dlg 393: ,
205265,207545,false,-1.0,dlg 394: ,
390574,288511,false,-1.0,dlg 395: ,
492636,766322,false,-1.0,dlg 396: ,
363205,377460,false,-1.0,dlg 397: ,
382021,346100,false,-1.0,dlg 398: ,
306757,1047422,false,-1.0,dlg 399: ,
201273,201273,false,-1.0,dlg 400: ,
198993,168774,false,-1.0,dlg 401: ,
196712,204124,false,-1.0,dlg 402: ,
219519,209256,false,-1.0,dlg 403: ,
186449,197852,false,-1.0,dlg 404: ,
190441,198993,false,-1.0,dlg 405: ,
193292,207546,false,-1.0,dlg 406: ,
204695,213818,false,-1.0,dlg 407: ,
206975,638032,false,-1.0,dlg 408: ,
198423,204695,false,-1.0,dlg 409: ,
198993,204124,false,-1.0,dlg 410: ,
1592515,194431,false,-1.0,dlg 411: ,
455575,208116,false,-1.0,dlg 412: ,
515443,779437,false,-1.0,dlg 413: ,
455575,748078,false,-1.0,dlg 414: ,
470969,7420332,false,-1.0,dlg 415: ,
474961,1004658,false,-1.0,dlg 416: ,
456714,3837886,false,-1.0,dlg 417: ,
202414,195002,false,-1.0,dlg 418: ,
291362,287371,false,-1.0,dlg 419: ,
221800,200704,false,-1.0,dlg 420: ,
278248,271976,false,-1.0,dlg 421: ,
431627,112326,false,-1.0,dlg 422: ,
191581,141405,false,-1.0,dlg 423: ,
221801,195002,false,-1.0,dlg 424: ,
278248,319301,false,-1.0,dlg 425: ,
344960,269695,false,-1.0,dlg 426: ,
310748,246888,false,-1.0,dlg 427: ,
469829,196142,false,-1.0,dlg 428: ,
187590,193291,false,-1.0,dlg 429: ,
190440,192721,false,-1.0,dlg 430: ,
188730,189871,false,-1.0,dlg 431: ,
191580,194431,false,-1.0,dlg 432: ,
